time, x_accel, y_accel, z_accel, speed, steer, roll, pitch, yaw, x_gps, y_gps, x_real, y_real, z_real
3.686000, -0.624815, -0.333572, 0.000469, 1.983506, -0.439756, 0.008598, 0.000273, -1.395213, -181.128571, 75.366982, -181.128571, 75.366982, 1.027887
3.719000, -0.613845, -0.318393, 0.000527, 1.990503, -0.426733, 0.008240, 0.000280, -1.406267, -181.131561, 75.299225, -181.131561, 75.299225, 1.027889
3.752000, -0.601315, -0.308551, 0.000623, 1.997481, -0.413605, 0.007888, 0.000290, -1.417009, -181.134842, 75.231323, -181.134842, 75.231323, 1.027892
3.785000, -0.588330, -0.299437, 0.000734, 2.004450, -0.400408, 0.007544, 0.000301, -1.427440, -181.138397, 75.163292, -181.138397, 75.163292, 1.027896
3.818000, -0.574877, -0.290520, 0.000840, 2.011400, -0.387158, 0.007207, 0.000314, -1.437558, -181.142227, 75.095116, -181.142227, 75.095116, 1.027899
3.851000, -0.561390, -0.278398, 0.000930, 2.018209, -0.373860, 0.006876, 0.000328, -1.447359, -181.146286, 75.026802, -181.146286, 75.026802, 1.027903
3.884000, -0.547520, -0.265713, 0.000934, 2.024842, -0.360579, 0.006552, 0.000343, -1.456842, -181.150589, 74.958366, -181.150589, 74.958366, 1.027906
3.917000, -0.532409, -0.259932, 0.000991, 2.031518, -0.347211, 0.006233, 0.000358, -1.466006, -181.155075, 74.889771, -181.155075, 74.889771, 1.027910
3.950000, -0.517160, -0.253578, 0.001063, 2.038200, -0.333978, 0.005920, 0.000374, -1.474852, -181.159744, 74.821045, -181.159744, 74.821045, 1.027914
3.983000, -0.501727, -0.247435, 0.001135, 2.044883, -0.320800, 0.005614, 0.000391, -1.483379, -181.164581, 74.752167, -181.164581, 74.752167, 1.027918
4.016000, -0.486160, -0.241566, 0.001201, 2.051558, -0.307696, 0.005314, 0.000409, -1.491591, -181.169571, 74.683144, -181.169571, 74.683144, 1.027921
4.049000, -0.470308, -0.235849, 0.001252, 2.058219, -0.294681, 0.005019, 0.000428, -1.499486, -181.174683, 74.613968, -181.174683, 74.613968, 1.027925
4.082000, -0.454335, -0.230461, 0.001289, 2.064862, -0.281793, 0.004731, 0.000448, -1.507067, -181.179901, 74.544640, -181.179901, 74.544640, 1.027929
4.115000, -0.438284, -0.225412, 0.001319, 2.071485, -0.269048, 0.004448, 0.000468, -1.514336, -181.185211, 74.475151, -181.185211, 74.475151, 1.027934
4.148000, -0.422052, -0.220528, 0.001311, 2.078080, -0.256463, 0.004171, 0.000487, -1.521295, -181.190628, 74.405510, -181.190628, 74.405510, 1.027937
4.181000, -0.405732, -0.216174, 0.001326, 2.084655, -0.244019, 0.003899, 0.000507, -1.527946, -181.196075, 74.335693, -181.196075, 74.335693, 1.027941
4.214000, -0.389520, -0.212393, 0.001311, 2.091214, -0.231805, 0.003633, 0.000526, -1.534294, -181.201599, 74.265709, -181.201599, 74.265709, 1.027946
4.247000, -0.373083, -0.209299, 0.001304, 2.097770, -0.219761, 0.003373, 0.000545, -1.540340, -181.207169, 74.195549, -181.207169, 74.195549, 1.027949
4.280000, -0.356788, -0.206488, 0.001304, 2.104323, -0.207924, 0.003118, 0.000564, -1.546088, -181.212723, 74.125221, -181.212723, 74.125221, 1.027953
4.313000, -0.340537, -0.203682, 0.001288, 2.110861, -0.196362, 0.002869, 0.000583, -1.551544, -181.218292, 74.054718, -181.218292, 74.054718, 1.027957
4.346000, -0.324369, -0.201434, 0.001250, 2.117394, -0.185038, 0.002626, 0.000601, -1.556710, -181.223877, 73.984039, -181.223877, 73.984039, 1.027960
4.379000, -0.308149, -0.199942, 0.001250, 2.123939, -0.173863, 0.002387, 0.000618, -1.561590, -181.229431, 73.913162, -181.229431, 73.913162, 1.027964
4.412000, -0.292250, -0.197987, 0.001218, 2.130471, -0.163051, 0.002155, 0.000636, -1.566191, -181.234955, 73.842102, -181.234955, 73.842102, 1.027967
4.445000, -0.276399, -0.196532, 0.001187, 2.137000, -0.152522, 0.001930, 0.000652, -1.570517, -181.240448, 73.770851, -181.240448, 73.770851, 1.027971
4.478000, -0.260883, -0.199484, 0.001211, 2.143665, -0.142273, 0.001711, 0.000669, -1.574574, -181.245880, 73.699402, -181.245880, 73.699402, 1.027974
4.511000, -0.245597, -0.202844, 0.001259, 2.150473, -0.132328, 0.001498, 0.000686, -1.578369, -181.251266, 73.627739, -181.251266, 73.627739, 1.027977
4.544000, -0.230519, -0.200459, 0.001258, 2.157227, -0.122665, 0.001293, 0.000704, -1.581907, -181.256577, 73.555885, -181.256577, 73.555885, 1.027980
4.577000, -0.215590, -0.198143, 0.001186, 2.163922, -0.113328, 0.001094, 0.000720, -1.585194, -181.261810, 73.483810, -181.261810, 73.483810, 1.027983
4.610000, -0.201202, -0.201878, 0.001172, 2.170757, -0.104312, 0.000902, 0.000736, -1.588239, -181.266953, 73.411530, -181.266953, 73.411530, 1.027986
4.643000, -0.187169, -0.207600, 0.001222, 2.177794, -0.095621, 0.000718, 0.000752, -1.591048, -181.271973, 73.339035, -181.271973, 73.339035, 1.027989
